"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.193947792E0,-2.651680139E-1,-1.001604652E0,-1.571283086E0
3.203970792E0,-1.235523392E0,-6.828670800E-1,-1.911910880E0
3.213994792E0,-1.510966718E0,-4.939318478E-1,-2.034866130E0
3.224017792E0,-1.154927125E0,-2.774357647E-1,-1.978598959E0
3.234040792E0,-5.677117226E-1,-7.713062167E-3,-2.178686001E0
3.244063792E0,-2.327522197E-1,6.479942858E-2,-2.577663744E0
3.254086792E0,-2.163358694E-1,1.683161956E-1,-2.515296172E0
3.264110792E0,-3.256697389E-1,5.364276570E-1,-2.361226718E0
3.274133792E0,-4.165375167E-1,6.439515209E-1,-2.076390717E0
3.284156792E0,-1.116005427E-1,3.287070751E-1,-1.323106204E0
3.294179792E0,-1.049347168E-1,8.104708672E-2,-7.937758970E-1
3.304202792E0,-2.205653067E-1,1.474895829E-1,-9.281069058E-1
3.314226792E0,-1.943137935E-1,5.426882708E-1,-1.580892985E0
3.324249792E0,-6.638621673E-2,8.847422004E-1,-1.787078673E0
3.334272792E0,8.845243916E-2,7.557795203E-1,-1.550975706E0
3.344295792E0,2.421986890E-1,3.281632841E-1,-1.092858054E0
3.354318792E0,2.029287887E-1,3.453622842E-1,-7.917206007E-1
3.364342792E0,-6.790137649E-2,5.731622046E-1,-9.639918530E-1
3.374365792E0,-2.077053791E-1,6.889207023E-1,-1.244280474E0
3.384389042E0,-3.148936129E-1,5.806191587E-1,-1.162149898E0
3.394412042E0,-4.622339456E-1,4.063364643E-1,-7.342883715E-1
3.404435042E0,-6.086317071E-1,3.482934934E-1,-1.553190047E-1
3.414459042E0,-4.055581999E-1,1.386924469E-1,7.042328060E-2
3.424482042E0,-2.361187541E-1,7.077002048E-2,-1.295509100E-2
3.434505042E0,-3.541442174E-1,2.408760488E-1,-2.627651006E-1
3.444528042E0,-3.410622418E-2,2.813744491E-1,-4.077128989E-1
3.454551042E0,2.534472701E-1,5.848209679E-1,-5.672763973E-1
3.464575042E0,4.769179121E-1,6.921787709E-1,-3.656240559E-1
3.474598042E0,5.020641553E-1,6.180150265E-1,-1.811865020E-1
3.484621042E0,1.309369925E-1,4.834173846E-1,-1.029022247E-1
3.494644042E0,-4.633275211E-2,3.670192015E-1,-1.730272973E-1
3.504667042E0,-2.409769133E-2,3.618900239E-2,-2.518509802E-1
3.514691042E0,-2.228254017E-1,-4.490304941E-1,-1.210461348E-1
3.524714042E0,-4.759908360E-1,-7.613191724E-1,7.441429764E-2
3.534737042E0,-3.415735808E-1,-7.314527643E-1,1.485347727E-1
3.544760042E0,-7.886841416E-2,-4.390218151E-1,5.954073519E-2
3.554783042E0,1.967817570E-1,-1.513276953E-1,-4.405263036E-2
