"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.554783042E0,-1.550178409E0,2.379961610E-1,8.229733258E-2
3.564806042E0,-1.627528310E0,2.912162542E-1,4.016719013E-2
3.574830042E0,-1.631875396E0,2.628966570E-1,5.104911514E-3
3.584853042E0,-1.570659995E0,1.792648733E-1,-2.273710445E-2
3.594876042E0,-1.456851482E0,1.168721467E-1,-5.472941697E-2
3.604899042E0,-1.330864191E0,7.440325618E-2,-9.502490610E-2
3.614922042E0,-1.232072473E0,5.428274721E-2,-1.442170888E-1
3.624946042E0,-1.094714642E0,3.169008344E-2,-1.962107718E-1
3.634969042E0,-9.320561886E-1,3.095330670E-2,-2.333938777E-1
3.644992042E0,-7.705962062E-1,6.936434656E-2,-2.419045419E-1
3.655015042E0,-6.456022263E-1,1.189956293E-1,-2.304465920E-1
3.665038042E0,-5.577977896E-1,1.631298065E-1,-2.280124575E-1
3.675062042E0,-5.466834903E-1,2.097971141E-1,-2.252814323E-1
3.685085042E0,-6.269932389E-1,1.942887306E-1,-2.328554690E-1
3.695108042E0,-7.324607968E-1,1.436122209E-1,-2.347414345E-1
3.705131042E0,-8.243198991E-1,1.445802748E-1,-2.204887420E-1
3.715154042E0,-9.198923111E-1,1.886415631E-1,-1.748730391E-1
3.725178042E0,-9.967588186E-1,2.686085701E-1,-1.228103712E-1
3.735201042E0,-1.056097388E0,3.353870213E-1,-6.335432082E-2
3.745224042E0,-1.116997838E0,3.584217727E-1,7.642891258E-3
3.755247042E0,-1.156355023E0,3.144252002E-1,4.668451846E-2
3.765270042E0,-1.170155525E0,2.168288827E-1,6.619723141E-2
3.775294042E0,-1.250521541E0,1.142113283E-1,1.129183173E-1
3.785317042E0,-1.441025734E0,4.455927759E-2,1.770400405E-1
3.795340042E0,-1.646929502E0,6.975234300E-2,2.116441727E-1
3.805363042E0,-1.836163878E0,1.977886111E-1,2.435674816E-1
3.815386042E0,-1.961466432E0,3.570604920E-1,2.813681662E-1
3.825410042E0,-1.979505658E0,4.704794884E-1,2.877706587E-1
