"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.697799792E0,-4.195475464E0,5.689817963E0,-7.017257538E0
2.707822792E0,-4.120631104E0,5.565875702E0,-6.977889404E0
2.717845792E0,-5.089266815E0,5.791157227E0,-6.731501770E0
2.727869792E0,-4.746779022E0,6.076314240E0,-7.478298798E0
2.737892792E0,-3.109034729E0,5.706882477E0,-8.052205353E0
2.747915792E0,-2.212249603E0,4.972359924E0,-7.680378571E0
2.757938792E0,-2.327659607E0,4.644691315E0,-8.179590454E0
2.767961792E0,-2.718796234E0,4.637506256E0,-8.808732147E0
2.777985792E0,-3.191363525E0,4.551135864E0,-8.833879852E0
2.788008792E0,-3.126697998E0,4.412524109E0,-9.005722504E0
2.798031792E0,-2.429298248E0,4.455933838E0,-9.078022156E0
2.808054792E0,-1.989063721E0,4.585414581E0,-8.634943542E0
2.818077792E0,-2.033970337E0,4.854405212E0,-8.282276917E0
2.828101792E0,-2.356100464E0,5.266797638E0,-8.282576294E0
2.838124792E0,-2.605930939E0,5.392236786E0,-8.117469635E0
2.848147792E0,-2.645598450E0,5.172044678E0,-7.805817719E0
2.858170792E0,-2.478396149E0,5.203778687E0,-7.968529358E0
2.868193792E0,-2.274220734E0,5.499413910E0,-8.245154114E0
2.878217792E0,-2.228116608E0,5.698799286E0,-7.766449585E0
2.888240792E0,-2.525697784E0,5.948929138E0,-7.174430695E0
2.898263792E0,-2.620151367E0,6.243067474E0,-6.833439789E0
2.908286792E0,-2.553539886E0,6.378086700E0,-6.510860596E0
2.918309792E0,-2.533331909E0,6.493197327E0,-6.322402496E0
2.928333792E0,-2.460583191E0,6.603517914E0,-6.379284210E0
2.938356792E0,-2.384391632E0,6.649322662E0,-6.404731293E0
2.948379792E0,-2.396516418E0,6.647227020E0,-6.192322998E0
2.958402792E0,-2.429298248E0,6.633305969E0,-6.245312805E0
2.968425792E0,-2.678979034E0,6.678362274E0,-6.211183777E0
2.978449792E0,-3.037184143E0,6.757397919E0,-6.160139923E0
2.988472792E0,-2.945275269E0,6.909331970E0,-6.320606232E0
2.998495792E0,-2.401007080E0,7.009473724E0,-6.373146973E0
3.008518792E0,-1.968556366E0,7.015760651E0,-6.286177826E0
3.018541792E0,-2.074985046E0,7.017856293E0,-6.283932495E0
3.028565792E0,-2.549797668E0,7.029981079E0,-6.266269226E0
3.038588792E0,-3.068319397E0,7.045548706E0,-6.099815369E0
3.048611792E0,-3.391796722E0,7.078180847E0,-6.008355560E0
3.058634792E0,-3.107837219E0,7.111711121E0,-6.076613617E0
3.068657792E0,-2.490670624E0,7.193141785E0,-6.075116730E0
3.078680792E0,-2.294428711E0,7.316934357E0,-5.940845947E0
3.088704792E0,-2.569257202E0,7.326963501E0,-5.844296722E0
3.098727792E0,-3.159330139E0,7.282805328E0,-5.822292480E0
3.108750792E0,-3.849993896E0,7.394323425E0,-5.753136292E0
3.118773792E0,-3.880680084E0,7.604486389E0,-5.579647064E0
3.128796792E0,-3.298840027E0,7.570507050E0,-5.382956085E0
3.138820792E0,-2.753524017E0,7.768694916E0,-5.562732239E0
3.148843792E0,-2.195933533E0,7.614515533E0,-5.674699402E0
3.158866792E0,-1.759441223E0,6.985822906E0,-6.102809143E0
3.168889792E0,-1.745669861E0,6.826703796E0,-7.051536255E0
3.178912792E0,-1.923799438E0,6.624773712E0,-7.574997711E0
3.188936792E0,-2.069147186E0,6.039341125E0,-7.683971100E0
3.198959792E0,-3.016976166E0,5.983806610E0,-8.025560760E0
3.208982792E0,-3.906576233E0,6.327042847E0,-8.336464233E0
3.219005792E0,-4.077969818E0,6.515201569E0,-8.407266998E0
3.229028792E0,-3.644321594E0,6.777456207E0,-8.338859253E0
3.239052792E0,-3.040926361E0,7.065906372E0,-8.561596069E0
3.249075792E0,-2.726879425E0,7.153923340E0,-8.910071411E0
3.259098792E0,-2.709066467E0,7.343129883E0,-8.732091522E0
3.269121792E0,-2.809956665E0,7.765252075E0,-8.564739532E0
3.279144792E0,-2.855162659E0,7.871830444E0,-8.111332397E0
3.289168792E0,-2.519859924E0,7.608378296E0,-7.303761749E0
3.299191792E0,-2.552192688E0,7.453600159E0,-6.749314728E0
3.309214792E0,-2.646496582E0,7.635022888E0,-6.892866211E0
3.319237792E0,-2.600093079E0,8.129444733E0,-7.445966034E0
3.329260792E0,-2.434387665E0,8.510103149E0,-7.488327942E0
3.339284792E0,-2.267484741E0,8.406518555E0,-7.090605011E0
3.349307792E0,-2.091899872E0,8.093070374E0,-6.508016510E0
3.359330792E0,-2.142195282E0,8.264014893E0,-6.137836304E0
3.369353792E0,-2.376009064E0,8.579409027E0,-6.232289886E0
3.379377042E0,-2.468367004E0,8.773704987E0,-6.329886932E0
3.389401042E0,-2.540666656E0,8.744216309E0,-6.058201904E0
3.399424042E0,-2.659669189E0,8.680748291E0,-5.442831573E0
3.409447042E0,-2.721340942E0,8.715176697E0,-4.741839294E0
3.419470042E0,-2.441273346E0,8.568182373E0,-4.433779907E0
3.429493042E0,-2.285148010E0,8.627758484E0,-4.428690491E0
3.439517042E0,-2.347119141E0,8.849597168E0,-4.555327148E0
3.449540042E0,-1.946851501E0,8.960217133E0,-4.605921936E0
3.459563042E0,-1.661993866E0,9.327403564E0,-4.653972015E0
3.469586042E0,-1.398990784E0,9.421557770E0,-4.357139282E0
3.479609042E0,-1.442250824E0,9.381740570E0,-4.122127991E0
3.489632042E0,-1.811083832E0,9.265432434E0,-4.002227325E0
3.499656042E0,-1.960024109E0,9.178912354E0,-4.004173279E0
3.509679042E0,-1.938917999E0,8.836424561E0,-3.997736664E0
3.519702042E0,-2.167792053E0,8.404572601E0,-3.755390625E0
3.529725042E0,-2.368674316E0,8.158334656E0,-3.473676453E0
3.539748042E0,-2.193089447E0,8.285719757E0,-3.310665436E0
3.549772042E0,-1.903741150E0,8.632099457E0,-3.297642517E0
3.559795042E0,-1.625170441E0,8.970096588E0,-3.251388702E0
3.569818042E0,-1.353784790E0,9.274413757E0,-3.000211029E0
3.579841042E0,-1.305135956E0,9.479337616E0,-2.502496033E0
3.589864042E0,-1.312620392E0,9.481732635E0,-2.022144928E0
3.599888042E0,-1.189127197E0,9.489366760E0,-1.629361725E0
3.609911042E0,-1.072220306E0,9.787397003E0,-1.392554169E0
3.619934042E0,-1.081201630E0,1.012165192E1,-1.250349884E0
3.629957042E0,-1.161434784E0,1.010877869E1,-8.786727905E-1
3.639980042E0,-1.309626617E0,1.001791763E1,-5.342390442E-1
3.650004042E0,-1.471290436E0,1.004366409E1,-4.727169800E-1
3.660027042E0,-1.637594604E0,1.006851242E1,-6.524931335E-1
3.670050042E0,-1.714684296E0,1.017703674E1,-8.949888611E-1
3.680073042E0,-1.699865112E0,1.036444702E1,-1.356778564E0
3.690096042E0,-1.722917175E0,1.052910461E1,-1.830543365E0
3.700120042E0,-1.981429596E0,1.061023590E1,-1.910477142E0
3.710143042E0,-2.072290649E0,1.056233551E1,-1.887125702E0
3.720166042E0,-2.198927307E0,1.049647247E1,-1.860481110E0
3.730189042E0,-2.382745056E0,1.043330383E1,-1.740281067E0
3.740212042E0,-2.559377747E0,1.052536240E1,-1.766775970E0
3.750236042E0,-2.711461487E0,1.078088104E1,-1.819466400E0
3.760259042E0,-2.560874634E0,1.086425766E1,-1.659598846E0
3.770282042E0,-2.497705994E0,1.099493591E1,-1.396595764E0
3.780305042E0,-2.640059967E0,1.126332779E1,-1.411564636E0
3.790328042E0,-2.684816895E0,1.156510025E1,-1.479673004E0
3.800352042E0,-2.452350311E0,1.173185349E1,-1.049018555E0
3.810375042E0,-2.260000305E0,1.172152496E1,-5.354365540E-1
3.820398042E0,-2.186353455E0,1.160371994E1,1.511856079E-2
3.830421042E0,-2.206711121E0,1.137379807E1,7.502398682E-1
3.840444042E0,-2.404749298E0,1.128578110E1,1.200802917E0
3.850468042E0,-2.234553223E0,1.099837875E1,1.883982239E0
3.860491042E0,-2.400408325E0,1.103340591E1,2.490970001E0
3.870514042E0,-2.056273956E0,1.116857483E1,2.268233185E0
3.880537042E0,-1.611997833E0,1.091425369E1,1.829944611E0
3.890560042E0,-1.419647827E0,1.062789917E1,1.178499298E0
3.900584042E0,-1.544338531E0,1.031385223E1,5.028044128E-1
3.910607042E0,-1.674867096E0,9.763147430E0,1.736389160E-1
3.920630042E0,-1.833686829E0,9.239236908E0,1.215472412E-1
3.930653042E0,-2.004331970E0,8.962013397E0,1.327738953E-1
3.940676042E0,-1.913770294E0,8.885223083E0,1.734892273E-1
3.950700042E0,-1.597927094E0,8.805139618E0,4.854405212E-1
3.960723042E0,-1.295256500E0,8.976832581E0,7.635621643E-1
3.970746042E0,-1.077010345E0,9.206455078E0,7.915539551E-1
3.980769042E0,-8.834628296E-1,9.239536285E0,6.965016174E-1
3.990792042E0,-6.056405640E-1,9.303752747E0,3.498225403E-1
4.000816042E0,-4.656816101E-1,9.201515350E0,-3.008743286E-2
4.010839042E0,-8.349636841E-1,9.177415466E0,-2.770738220E-1
4.020862042E0,-1.000519409E0,9.160051575E0,-3.963757324E-1
