"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.855479042E0,1.441074371E0,-4.710656738E1,2.091693115E1
3.865502042E0,1.179237366E0,-4.711206055E1,2.038429260E1
3.875526042E0,9.185333252E-1,-4.738958740E1,1.955456543E1
3.885549042E0,4.109592438E-1,-4.763150024E1,1.925909424E1
3.895572042E0,4.127063751E-1,-4.767886353E1,1.916438293E1
3.905595042E0,1.552600861E-1,-4.787887573E1,1.888311768E1
3.915618042E0,-1.637744904E-1,-4.784417725E1,1.864299011E1
3.925642042E0,-4.104003906E-1,-4.777545166E1,1.865176392E1
3.935665042E0,-7.444648743E-1,-4.778332520E1,1.824008179E1
3.945688042E0,-9.623584747E-1,-4.811727905E1,1.813703918E1
3.955711042E0,-1.327062607E0,-4.840634155E1,1.818959045E1
3.965734042E0,-1.515100479E0,-4.848623657E1,1.756242371E1
3.975758042E0,-1.883163452E0,-4.850030518E1,1.684953308E1
3.985781042E0,-2.445568085E0,-4.859707642E1,1.635569763E1
3.995804042E0,-2.740055084E0,-4.881240845E1,1.605891418E1
4.005827042E0,-3.286914825E0,-4.906369019E1,1.530180359E1
4.015850042E0,-3.858268738E0,-4.916137695E1,1.471147156E1
4.025874042E0,-4.136493683E0,-4.928967285E1,1.416593933E1
4.035897042E0,-4.636924744E0,-4.936474609E1,1.401075745E1
4.045920042E0,-4.774082184E0,-4.970816040E1,1.350465393E1
4.055943042E0,-5.191486359E0,-4.966241455E1,1.336415100E1
4.065966042E0,-5.176422119E0,-4.955221558E1,1.254055786E1
4.075989042E0,-5.145107269E0,-4.988046265E1,1.250115967E1
4.086013042E0,-5.277240753E0,-4.984622192E1,1.250065613E1
4.096036042E0,-5.055438995E0,-5.007949829E1,1.202655029E1
4.106059042E0,-5.357921600E0,-5.007839966E1,1.156167603E1
4.116082042E0,-4.961917877E0,-5.037960815E1,1.085604858E1
4.126105042E0,-4.892971039E0,-5.051165771E1,1.106179810E1
4.136129042E0,-4.872367859E0,-5.045660400E1,1.029617310E1
4.146152042E0,-4.513469696E0,-5.062808228E1,9.768676758E0
4.156175042E0,-4.263195038E0,-5.063250732E1,9.081344604E0
4.166198042E0,-4.219036102E0,-5.092019653E1,8.978576660E0
4.176222042E0,-4.087196350E0,-5.109252930E1,8.244400024E0
4.186245042E0,-3.749637604E0,-5.146865845E1,7.932174683E0
4.196268042E0,-3.646972656E0,-5.144891357E1,7.614151001E0
4.206291042E0,-3.480220795E0,-5.143231201E1,7.009887695E0
4.216314042E0,-3.592594147E0,-5.143618774E1,6.475051880E0
4.226337042E0,-3.706687927E0,-5.170706177E1,6.224365234E0
4.236361042E0,-3.836040497E0,-5.159002686E1,6.136886597E0
4.246384042E0,-3.503467560E0,-5.157925415E1,5.821136475E0
4.256407042E0,-3.636390686E0,-5.154309082E1,5.381423950E0
4.266430042E0,-3.668285370E0,-5.145269775E1,5.363906860E0
4.276453042E0,-3.381423950E0,-5.173675537E1,5.431137085E0
4.286477042E0,-3.511054993E0,-5.177017212E1,5.084320068E0
4.296500042E0,-3.461612701E0,-5.153161621E1,4.898620605E0
4.306523042E0,-3.337203979E0,-5.154733276E1,4.425888062E0
4.316546042E0,-3.621067047E0,-5.171804810E1,4.944015503E0
4.326569042E0,-3.386054993E0,-5.164520264E1,4.640106201E0
4.336593042E0,-3.295436859E0,-5.171911621E1,4.760406494E0
4.346616042E0,-3.400485992E0,-5.162609863E1,4.239028931E0
4.356639042E0,-3.266654968E0,-5.167291260E1,4.786621094E0
4.366662042E0,-3.241447449E0,-5.176715088E1,4.689437866E0
4.376685042E0,-3.492797852E0,-5.173245239E1,4.377822876E0
4.386708833E0,-3.436550140E0,-5.168087769E1,4.555084229E0
4.396731833E0,-3.309669495E0,-5.161294556E1,4.320236206E0
4.406754833E0,-3.361385345E0,-5.176065063E1,4.389862061E0
4.416777833E0,-3.356163025E0,-5.159295654E1,4.175094604E0
4.426800833E0,-3.471923828E0,-5.167669678E1,4.010147095E0
4.436824833E0,-3.451591492E0,-5.156924438E1,4.029464722E0
