Time_s,xAccel_m_s2,yAccel_m_s2,zAccel_m_s2,xRate_rad_s,yRate_rad_s,zRate_rad_s,xMag_uT,yMag_uT,zMag_uT,e0,e1,e2,e3,u_m_s,v_m_s,w_m_s,gx_m_s2,gy_m_s2,gz_m_s2,xI_m,yI_m,zI_m,GPS_lat_deg,GPS_long_deg,Alt_m,delta_t,delta_e,delta_a,delta_r
3.469796181,-5.783989429,-0.003151894,4.081336975,-0.045026120,-0.268595994,-0.089581259,-10.004331589,-14.358147621,50.027572632,0.946887851,-0.128041565,0.281504542,0.088114299,14.299096107,-0.030082608,-0.651448309,-5.446889400,-1.889671445,7.924680710,37.512897491,3.534199238,-23.549060822,43.816537618,-111.783952532,1692.549072266,0.906483769,0.049140047,-0.095477387,-0.010050251
3.539063454,-5.766082764,-0.003234148,4.200963974,-0.044789538,-0.261331648,-0.101203136,-8.989648819,-14.578483582,50.156295776,0.949513912,-0.129647374,0.272244245,0.086590767,14.314720154,-0.065571986,-0.648003578,-5.287796974,-1.950294733,8.017204285,38.314918518,3.611358643,-24.127624512,43.816544831,-111.783951574,1693.127685547,0.906483769,0.058968060,-0.015075377,0.005025126
3.600582123,-5.876803398,-0.005968809,4.331001759,0.046013769,-0.261009961,-0.099416696,-8.092999458,-14.614548683,50.298294067,0.951952815,-0.129627779,0.264222264,0.084670737,14.337185860,-0.098293558,-0.644663036,-5.146519184,-1.980050087,8.101405144,39.038215637,3.677153587,-24.628347397,43.816551335,-111.783950756,1693.628295898,0.916458845,0.061425060,0.042713568,-0.010050251
3.667664528,-5.711390972,-0.009106636,4.444458008,0.172467396,-0.262329817,-0.098428823,-7.112458229,-14.268789291,50.545177460,0.955011070,-0.126011416,0.255756289,0.081632063,14.378366470,-0.140353560,-0.643193901,-4.990246773,-1.950023890,8.205782890,39.839092255,3.745811462,-25.160648346,43.816558538,-111.783949897,1694.160644531,0.907730699,0.046683047,0.045226131,-0.010050251
3.733543396,-5.681349754,-0.010377765,4.609147549,0.242252752,-0.255892664,-0.100373402,-6.156485081,-13.606131554,50.852451324,0.958273530,-0.119493254,0.247750551,0.077801123,14.418705940,-0.180956781,-0.639849067,-4.836853027,-1.867434025,8.316102982,40.638042450,3.810060501,-25.669641495,43.816565723,-111.783949092,1694.669677734,0.908977568,0.061425060,0.070351757,0.005025126
3.797433853,-5.593987942,-0.014362693,4.745547295,0.309585810,-0.258824497,-0.096786760,-5.234531403,-12.729043007,51.181747437,0.961548865,-0.111049034,0.240170226,0.073554046,14.465658188,-0.217451885,-0.637956381,-4.689243793,-1.749205351,8.425630569,41.424484253,3.869378567,-26.150403976,43.816572796,-111.783948361,1695.150390625,0.906483769,0.046683047,0.055276383,-0.010050251
3.866368294,-5.545441151,-0.014896274,4.909000397,0.330751449,-0.253574669,-0.099249654,-4.245568275,-11.623291016,51.535171509,0.965045273,-0.100550547,0.232098252,0.068612307,14.520956039,-0.248914659,-0.635805905,-4.526771545,-1.591247082,8.544956207,42.285720825,3.930214405,-26.655197144,43.816580541,-111.783947596,1695.655151367,0.907730699,0.058968060,0.062814072,0.005025126
3.932582855,-5.456963062,-0.017266393,5.031406403,0.352074772,-0.256479293,-0.095294744,-3.301242828,-10.475154877,51.849525452,0.968264997,-0.089765146,0.224378556,0.063713610,14.581511497,-0.269665033,-0.635524809,-4.371846199,-1.425028682,8.654262543,43.125263214,3.985794544,-27.126752853,43.816588091,-111.783946902,1696.126708984,0.906483769,0.058968060,0.075376883,-0.010050251
3.994825363,-5.403161049,-0.017215371,5.096629143,0.377745241,-0.258809626,-0.093152754,-2.409151793,-9.306005478,52.120960236,0.971177161,-0.078860223,0.217052430,0.059027322,14.642266273,-0.281976849,-0.637272656,-4.224435329,-1.251939893,8.753673553,43.925395966,4.035763264,-27.558319092,43.816595287,-111.783946282,1696.558349609,0.907730699,0.041769043,0.050251257,0.005025126
4.062644958,-5.418605804,-0.017468095,5.249223232,0.362641066,-0.250981927,-0.088471457,-1.453030109,-8.009573936,52.371139526,0.974104583,-0.066852286,0.209133357,0.053985264,14.714892387,-0.286122829,-0.636752546,-4.065233231,-1.057092309,8.854177475,44.809265137,4.088069916,-28.015689850,43.816603236,-111.783945634,1697.015747070,0.915211976,0.056511056,0.042713568,0.005025126
4.129143715,-5.218707085,-0.018987000,5.357790947,0.345972508,-0.252634466,-0.082692832,-0.531757474,-6.781526566,52.561664581,0.976690829,-0.055537850,0.201394930,0.049302764,14.797190666,-0.281386286,-0.638477981,-3.910534382,-0.870379806,8.943722725,45.688247681,4.137587547,-28.451450348,43.816611141,-111.783945022,1697.451416016,0.907730699,0.034398034,-0.000000000,-0.010050251
4.194522858,-5.107122421,-0.016739547,5.497245789,0.282069057,-0.240844488,-0.083705366,0.350815237,-5.713955879,52.689922333,0.978926837,-0.045776822,0.193853766,0.045027759,14.875295639,-0.264796913,-0.638821483,-3.761392355,-0.708761394,9.021618843,46.564205170,4.184953690,-28.867757797,43.816619018,-111.783944425,1697.867797852,0.906483769,0.039312039,-0.027638191,0.005025126
4.263113976,-5.022995472,-0.015959382,5.675360203,0.209169105,-0.232704729,-0.079735927,1.236610174,-4.837192535,52.764308929,0.980936348,-0.037857994,0.186137363,0.041031808,14.959943771,-0.235351324,-0.638297021,-3.609481812,-0.578393877,9.092696190,47.495311737,4.233577251,-29.291736603,43.816627392,-111.783943814,1698.291748047,0.907730699,0.012285012,-0.090452261,-0.010050251
4.328315735,-4.941769600,-0.012697577,5.934878349,0.089712255,-0.209218219,-0.083783112,2.020976067,-4.337518692,52.783542633,0.982522964,-0.033500180,0.179158911,0.037795819,15.044945717,-0.195539340,-0.634588897,-3.476470709,-0.512820244,9.148287773,48.391723633,4.279022217,-29.683027267,43.816635454,-111.783943243,1698.682983398,0.908977568,-0.036855038,-0.110552765,0.005025126
4.394643784,-4.902908802,-0.010237277,6.540960312,-0.003923732,-0.158952355,-0.081193343,2.685942650,-4.194006920,52.765483856,0.983734608,-0.032547247,0.173138037,0.035073936,15.135746956,-0.147150069,-0.619393885,-3.361815691,-0.508295298,9.191290855,49.314609528,4.324551582,-30.070178986,43.816643753,-111.783942686,1699.070190430,0.913965106,-0.054054055,-0.095477387,-0.010050251
